company,company_id,ticker,industry,company_url
FedEx,Q459477,FDX,logistics,http://www.wikidata.org/entity/Q459477
Fidelity National Information Services,Q1411295,FIS,financial services,http://www.wikidata.org/entity/Q1411295
Fiverr International Ltd.,Q136684502,FVRR,,http://www.wikidata.org/entity/Q136684502
Fluor,Q653581,FLR,construction,http://www.wikidata.org/entity/Q653581
Ford Motor Company,Q44294,F,automotive industry,http://www.wikidata.org/entity/Q44294
GE Aerospace,Q1485061,GE,aerospace industry,http://www.wikidata.org/entity/Q1485061
GE Vernova,Q118957699,GEV,,http://www.wikidata.org/entity/Q118957699
GEO Group,Q1502794,GEO,real estate investment trust,http://www.wikidata.org/entity/Q1502794
Gap Inc.,Q420822,GAP,retail,http://www.wikidata.org/entity/Q420822
General Dynamics,Q502940,GD,mechanical engineering,http://www.wikidata.org/entity/Q502940
General Electric,Q54173,GE,mechanical engineering,http://www.wikidata.org/entity/Q54173
General Mills,Q629998,GIS,food industry,http://www.wikidata.org/entity/Q629998
General Motors,Q81965,GM,automotive industry,http://www.wikidata.org/entity/Q81965
Ginkgo Bioworks,Q29026065,DNA,biotechnology,http://www.wikidata.org/entity/Q29026065
Global Payments,Q5570544,GPN,,http://www.wikidata.org/entity/Q5570544
GoDaddy,Q1416215,GDDY,web hosting service,http://www.wikidata.org/entity/Q1416215
Gol Linhas Aéreas,Q691637,GOL,,http://www.wikidata.org/entity/Q691637
Goldman Sachs,Q193326,GS,International Standard Industrial Classification,http://www.wikidata.org/entity/Q193326
Gray Media,Q5598232,GTN,terrestrial television,http://www.wikidata.org/entity/Q5598232
Guess,Q2470307,GES,retail,http://www.wikidata.org/entity/Q2470307
HCA Corporation,Q1630431,HCA,health care,http://www.wikidata.org/entity/Q1630431
HSBC,Q190464,HSBC,insurance,http://www.wikidata.org/entity/Q190464
Haleon,Q112860932,HLN,,http://www.wikidata.org/entity/Q112860932
Halliburton,Q656165,HAL,petroleum,http://www.wikidata.org/entity/Q656165
Harley-Davidson,Q192814,HOG,automotive industry,http://www.wikidata.org/entity/Q192814
Harris Corporation,Q1433308,,aerospace industry,http://www.wikidata.org/entity/Q1433308
Honda,Q9584,HMC,automotive industry,http://www.wikidata.org/entity/Q9584
Host Hotels & Resorts,Q1630559,HST,hotel industry,http://www.wikidata.org/entity/Q1630559
Howmet Aerospace,Q25104597,ARNC,aerospace industry,http://www.wikidata.org/entity/Q25104597
HubSpot,Q5926631,HUBS,marketing,http://www.wikidata.org/entity/Q5926631
Huntington Ingalls Industries,Q7257522,HII,shipbuilding,http://www.wikidata.org/entity/Q7257522
Hypercom,Q5957866,HYC,,http://www.wikidata.org/entity/Q5957866
IBM,Q37156,IBM,software industry,http://www.wikidata.org/entity/Q37156
IMAX Corporation,Q1654103,IMAX,Motion Picture Production and Services,http://www.wikidata.org/entity/Q1654103
ING Group,Q645708,ING,"financial service activities, except insurance and pension funding",http://www.wikidata.org/entity/Q645708
Indosat,Q2393592,IIT,telecommunications,http://www.wikidata.org/entity/Q2393592
Integer,Q30297996,ITGR,,http://www.wikidata.org/entity/Q30297996
International Flavor & Fragrances,Q1666568,IFF,specialty chemicals,http://www.wikidata.org/entity/Q1666568
International Paper,Q202972,IP,pulp and paper industry,http://www.wikidata.org/entity/Q202972
Invitation Homes,Q85769855,INVH,real estate investment trust,http://www.wikidata.org/entity/Q85769855
JPMorgan Chase,Q192314,JPM,financial services,http://www.wikidata.org/entity/Q192314
Janus Henderson,Q30325409,JHG,investment management,http://www.wikidata.org/entity/Q30325409
Johnson & Johnson,Q333718,JNJ,pharmaceutical industry,http://www.wikidata.org/entity/Q333718
Johnson Controls plc,Q667865,JCI,,http://www.wikidata.org/entity/Q667865
Juniper Networks,Q1049080,JNPR,technology,http://www.wikidata.org/entity/Q1049080
Kenvue,Q118905792,KVUE,,http://www.wikidata.org/entity/Q118905792
Keurig Dr Pepper,Q3116111,KDP,beverage industry,http://www.wikidata.org/entity/Q3116111
